Operator,Station,Code,Cubic Name,NLC,Gated
SE,Rainham(Kent),LSER,TOC5177,5177,1
SE,Rochester,LSER,TOC5203,5203,1
SE,Sevenoaks,LSER,TOC5124,5124,1
SE,Sidcup,LSER,TOC5125,5125,1
SE,Sittingbourne,LSER,TOC5187,5187,1
SE,St Leonards,LSER,TOC5239,5239,1
SE,St. Pancras International,LSER,TOC1555,1555,1
SE,Stratford International,LSER,TOC7222,7222,1
SE,Strood,LSER,TOC5191,5191,1
SE,Tonbridge,LSER,TOC5229,5229,1
SE,Tunbridge Wells,LSER,TOC5230,5230,1
SE,Waterloo East,LSER,TOC5158,5158,1
SE,Welling,LSER,TOC5128,5128,1
SE,Woolwich Arsenal,LSER,TOC5152,5152,1
Stobart,Southend Airport,Stobart,TOC4787,4787,1
SWR,Aldershot,SWR,TOC5623,5623,1
SWR,Basingstoke,SWR,TOC5520,5520,1
SWR,Bournemouth,SWR,TOC5876,5876,1
SWR,Bracknell,SWR,TOC5693,5693,1
SWR,Clapham Junction,SWR,TOC5595,5595,1
SWR,Earlsfield,SWR,TOC5584,5584,1
SWR,Fareham,SWR,TOC5900,5900,1
SWR,Farnborough,SWR,TOC5521,5521,1
SWR,Feltham,SWR,TOC5559,5559,1
SWR,Fratton,SWR,TOC5509,5509,1
SWR,Guildford,SWR,TOC5631,5631,1
SWR,Hampton Court,SWR,TOC5561,5561,1
SWR,Haselmere,SWR,TOC5633,5633,1
SWR,Havant,SWR,TOC5532,5532,1
SWR,Kingston,SWR,TOC5565,5565,1
SWR,New Malden,SWR,TOC5567,5567,1
SWR,Norbiton,SWR,TOC5568,5568,1
SWR,Petersfield,SWR,TOC5657,5657,1
SWR,Portsmouth & Southsea,SWR,TOC5537,5537,1
SWR,Portsmouth Harbour,SWR,TOC5540,5540,1
SWR,Putney,SWR,TOC5603,5603,1
SWR,Queenstown Road,SWR,TOC5596,5596,1
SWR,Raynes Park,SWR,TOC5569,5569,1
SWR,Richmond,SWR,TOC5570,5570,1
SWR,Salisbury,SWR,TOC5663,5663,1
SWR,Southampton Central,SWR,TOC5932,5932,1
SWR,Staines,SWR,TOC5670,5670,1
